key,title,description,tabdefaultclassification,classification_status,tag,documentation status,steward:groupprofile,steward:user,processinglocation,index name,is_primary_key_manual,processingcapability,gdpr,is_cdc,coldefaultclassification,under retention,iac classification,intuit_classification,processing3rdparty,table_documentation,processingcategory
tax_dm.fact_mktg_proactive_saves_customer_success,fact_mktg_proactive_saves_customer_success,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.ck_matched_members,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_taxprep_session,fact_taxprep_session,"<div><p>SOURCE: MATT</p>

<p>This table is meant to represent Taxprep sessions or session start and ends for when a user has entered the TTO Application and has the ability to interact with their tax formset.</p>

<p> </p>

<p>session_type = 'start' is definitely when a user creates a new session with the TTO application.  Session Types will generally have a corresponding session_type = 'end' for when the application session ends.</p>

<p> </p>

<p>There are many session_type = 'end' records in this table without a corresponding session_type 'start'.  These may be coming from a different application than TTO.</p>

<p> </p>

<p>Use session_type = 'start' to get the MATT/Server based count of users that were active on TTO for any given period of time.  Since there are weird session_type = 'end' records in here, sessionization and counting users while including session_type = 'end' records becomes problematic.</p>
</div>",N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,avasquezlam,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_dm.agg_auth_id_daily_current_sku,,<p>This table gives the current sku for the auth id</p>,N/A,,null,,,vamudalapal,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.helper_intu_item_cd_prior_sku_master,Helper Intu Item Code Prior Sku Master,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_campaign,Dim Campaign,<p>This dimension table contains extracted data from campaign (or cid) values in clickstream. This table is time partitioned by load_date and tax_year and there may be duplicate rows between these partitions.</p>,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_product,Dim Product,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_taxfiler,Dim Tax Filer,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_tax_date,Dim Tax Date,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_efile_reject_error_field_keyword,Dimensions Efile Reject Error Field Keyword,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_filing_status,Dim Filing Status,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.sub_clickstream_recipe_assignment_first,Subjected Clickstream Recipe Assignment First,,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_life_event,fact_life_event,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_financial_events,fact_financial_events,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_tax_employer,Dim Tax Employer,<p>This tracks all employers that our tax customers have ever referenced on their tax returns</p>,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_cs_public_record_txn,fact_cs_public_record_txn,<p>This is a record of all the public record txns for a given user - it is derived from credit_public_record</p>,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_cs_inquiry_txn,fact_cs_inquiry_txn,<p>This is a record of all credit inquiries for a customer - it is derived from credit_inquiry</p>,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_mktg_proactive_saves_tax_amendment,fact_mktg_proactive_saves_tax_amendment,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_cg_content_metadata,Factorid Cargo Content Metadata,,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_dm.retention_analytics_master,Retention Analytics Master,"<p>This table stores data about orders made for TurboTax alone with information about revenue, efile status, product recommendation score, multifiler information, start and completed skus etc. This data is partitioned by tax year.</p>",N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.v_dim_marketing_taxcust_profile_list,,<p>View rolling up on dim marketing taxcust profile list</p>,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.c360_marketing_attribute_taxyear,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.sub_tax_digital_assistant_session_intent,Sub Tax Digital Assistant Session Intent,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.helper_tax_case_session_id_mapping,Helper Tax Case Session Identify Mapping,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_tax_digital_assistant_session,Fact Tax Digital Assistant Session,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_sf_b2c_contact_verbatim_cgde50822,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.helper_engagement_case_id_mapping,Helper Engagement Case Identify Mapping,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.stage_act_dim_sku_rollup,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.ck_member_activity,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.ck_unmatched_members,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.tto_abandonment_screen,Tto Abandonment Screen,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.v_launch_suppressions,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.tto_abandonment_topic,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.c360_marketing_attribute_non_taxyear,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.lkp_item_alias_rank_bkp,Lookup Item Alias Rank Backup,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_nlac_search_kw_subbucket,Dim Nlac Search Keywords Sub Bucket,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_product_alias_bkp,Dim Product Alias Backup,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_product_bkp,Dim Product Backup,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_nlac_search_kw_bucket,Dim Nlac Search Keywords Bucket,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.stage_act_helper_mktg_product_rank,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.helper_dnc_partner_codes,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.marketing_first_party_attribute,marketing_first_party_attribute,<p>Final Table of for publishing customers attribute to C360 First Party namespace. It gives 360 picture for customer. It holds different attributes name and its corresponding value for a auth in key-value pair format.</p>,N/A,,null,,,pvalia,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.stage_dim_bundle_rollup,Stage Dim Bundle Rollup,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.stage_act_dim_product_base,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.stage_lkp_item_alias_rank,Stage Lookup Item Alias Rank,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.stage_act_lkp_item_alias_rank,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.nlac_customer_behavior_detailed,Nlac Customer Behavior Detailed,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_w2_import_error,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.sub_taxorder_completed_ranked,Sub Tax Order Completed Ranked,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_auth_id_nlac_crm_attributes_clickstream,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_auth_id_refund_drop_in_session,Fact Auth Identify Refund Drop In Session,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_sf_b2c_case1,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.nlac_customer_retention_levers,Nlac Customer Retention Levers,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.v_tta_marketing,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_efile_reject_error,fact_efile_reject_error,<p>This table having efile_reject_error_id and descriptive rejection error information for rejected efiling ids.</p>,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.agg_fed_efile_status,agg_fed_efile_status,"<p>This table is a target table of EFE's agg-fed-ef-status pipeline. It table gathers eFiling information for the current tax year from authenticated entities (entities with auth_id) that e-filed taxes (in the current tax year). The information this pipeline gets is for each entity with an auth_id: entity's primary_id, states (up to 3) that the entity e-filed taxes for along with the corresponding date and timestamps for submission, approva, and/or rejection of this filing.</p>",N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_auth_id_completed_user_agent_parity,Fact Auth Identify Completed User Agent Parity,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.agg_sessions_to_complete,Aggregate Sessions To Complete,<p>This Table shows the number of sessions that it took a user to complete their order.</p>,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_auth,dim auth,<p>This is the vertica equivalent of ctg_analytics.dim_auth and table contains Auth Indentifiers</p>,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,rkancharla,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_sf_b2c_contact,SFDC B2C Contact data,,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_dm.fact_sf_b2c_contact_copy,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_tax_product_info_profile_type,Dim Tax Product Info Profile Type,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_sf_b2c_discount,SFDC B2C Discounts,,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_dm.dim_sf_b2c_segment,SFDC B2C Segment Dimension,,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_dm.ttl_auth_scope_master,Total Auth Scope Master,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.sub_taxprep_session_first,Sub Taxprep Session First,<p>Maintains the information for an auth_id's first session in a given tax year </p>,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_dm.helper_site_mapping,Helper Site Mapping,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.marketing_first_party_attribute_parity,Marketing First Party Attribute Parity,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.sub_authorization_first,Subcontractor Authorization First,,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_dm.sub_authentication_first,Subcontractor Authentication First,<p>This table is used as a source with adobe-feed-translator. It contains first time auth events in a given tax year for TTO users (authorization_level between 0 and 30). Vertica equivalent of this table is CTG_ANALYTICS.sub_authentication_first</p>,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,smartha;gdoon,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_dm.fact_mrktg_turbotax_txn_shelby,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_tax_w2_metric_hist,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_tax_w2_metric,fact_tax_w2_metric,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.helper_cv_get_pii_bkp,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.helper_cv_get_pii,helper_cv_get_pii,<p>tax_dm.helper_cv_get_pii contains PII details from CV source</p>,N/A,,null,,,rjohn1,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_sf_b2c_customer,SFDC B2C Customer Dimension,<p>This dimension table stores data related to SFDC b2c customers. </p>,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_dm.fact_taxorder,Fact Taxorder,<p>This table contains TTO taxorder entries pertaining from 2 source systems: Business Events stream and EFE.</p>,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_auth_id_completed_user_agent,Fact Auth Identify Completed User Agent,,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.helper_cv_get_pii2,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.lkp_product_completed_sku,Lookup Product Completed Sku,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.helper_dne_address_domain,Helper Do Not Email Address Domain,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.helper_dne_address_local_part,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.ty18_active_tta,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_marketing_turbotax_orders,fact_marketing_turbotax_orders,<p>Contains TTD and TTO transactional purchases</p>,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,rjohn1,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.helper_cv_keymap,helper_cv_keymap,"<p>tax_dm.helper_cv_keymap is used to patch the missing auth_id, mark_cust_iden using customer_key</p>",N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,pvalia,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.agg_completed_orders_ranked,Aging Completed Orders Ranked,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.v_marketing_first_party_attribute,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_state,Dim State,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.v_ttd_retail_registrations_survey_cy,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.agg_completed_orders_ranked_vw,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.vw_expert_productivity_customer_serving_time,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.v_ttd_retail_registrations_py,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_customer,Dim Customer,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_mktg_customer,Dim Marketing Customer,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.v_ttd_retail_registrations_cy_by_sku_wk,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.v_ttd_retail_registrations_cy_by_sku,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.v_ttd_retail_registrations_cy,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_cc_vendor,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_cc_skill,Skill and Queue Dimensional Table ,"<p>Dimensional Table at the skill (aka queue aka workgroup) level. maps queues/workgroups to various larger groups for reporting, such as capacity planning groups, SLA groups, languages, etc etc</p>",N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.lk_product_completed_sku,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.lkp_customer_efs_non_rt_order,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_mktg_proactive_saves_tax_profile,fact_mktg_proactive_saves_tax_profile,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_mktg_proactive_saves_tax_clickstream,fact_mktg_proactive_saves_tax_clickstream,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_accepted_refund,fact Accepted Refund,<p>This table contains filing_ids amount paid and type of filing</p>,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_efile_status,Fact Efile Status,<p>This table contains latest filing_id and their change_id and filing status.</p>,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.agg_auth_id_state_efile_status,agg_auth_id_state_efile_status,"<p>This table is a target table of EFE's agg-ef-status pipeline. It gathers eFiling information for the current tax year from authenticated entities (entities with auth_id) that e-filed taxes (in the current tax year). The information this pipeline gets is for each entity with an auth_id: entity's primary_id, states (up to 3) that the entity e-filed taxes for along with the corresponding date and timestamps for submission, approva, and/or rejection of this filing.</p>",N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,lmahabalesh;achandeck,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_auth_id_completed_sku,Fact Auth Identify Completed Sku,"<p>this table maintains the Fed online turbo tax product the customer used to file his online returns. Fed sku are renamed as '600|Paid Deluxe' , '800|Paid Premier' etc.<br></p>",N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.agg_auth_id_accepted_refund,Agg Auth_id Accepted Refund,<p>This table contains auth id  and their avg fed and state refund amounts and payment method entries pertaining from fact_accepted_refund.</p>,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.sub_taxorder_fed_first,Subcontractor Taxorder Fed First,,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_dm.agg_fed_customer_efile_status,Aggreg Fed Customer Efile Status,,N/A,,null,,,ppenugonda;cfu4;amuthusamy1,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.agg_customer_accepted_refund,Agg Customer Accepted Refund,<p>This table contains customer accepted refund entries pertaining from fact_accepted_refund source systems.</p>,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.sub_customer_segment_delta,Sub Customer Segment Delta,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.sub_customer_segment,Sub Customer Segment,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.helper_seasonal_agent_detail,Helper Seasonal Agent Detail,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.agg_pro_daily_logged_work_hours,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.agg_pro_daily_productive_hours,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_sf_b2c_user,SFDC B2C User Dimension,<p>This table contains SalesForce (SFDC) Business to Customer (B2C) Users</p>,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,kshourabh,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_dm.dim_care_search_source,Dimensional Care Search Source,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_tile,Dim Tile,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_ab_test_recipe,Department Is Managing Ab Test Recipe,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_integer_index,Dim Integer Index,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.sub_clickstream_prior_year_taxprep_method_first,,,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_tax_w2_import_eligibility,fact_tax_w2_import_eligibility,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_customer_type,Dim Customer Type,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_customer_definition,Dim Customer Definition,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_cs_account_txn,fact_cs_account_txn,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_efile_reject_code,Dim Efile Reject Code,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_efile_status_code,Dim Efile Status Code,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_product_alias,Dimensional Product Alias,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_filing_type,Dim Filing Type,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_priority_code,Dim Priority Code,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_mrktg_turbotax_txn,Factor Marketing Turbotax Taxation,,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
